Course Id,Category,Sub-Category,Rating,Instructors.
2406,Business,Business Essentials,4.7,
2410,Business,Leadership and Management,4.7,
2434,Business,Finance,4.7,
2451,Business,Leadership and Management,4.7,
2461,Business,Finance,4.7,
2465,Business,Leadership and Management,4.7,
2477,Business,Marketing,4.7,
2481,Business,Business Essentials,4.7,
2490,Business,Finance,4.7,
2493,Business,Marketing,4.7,
2503,Business,Leadership and Management,4.7,
2516,Business,Business Essentials,4.7,
2532,Business,Business Essentials,4.7,
2541,Business,Business Essentials,4.7,
2565,Business,Finance,4.7,
2569,Business,Finance,4.7,
2587,Business,Marketing,4.7,
2589,Business,Finance,4.7,
2619,Business,Finance,4.7,
2627,Business,Leadership and Management,4.7,
2639,Business,Business Essentials,4.7,
2664,Business,Business Essentials,4.7,
2667,Business,Leadership and Management,4.7,
2675,Business,Marketing,4.7,
2679,Business,Leadership and Management,4.7,
2681,Business,Leadership and Management,4.7,
2682,Business,Finance,4.7,
2684,Business,Leadership and Management,4.7,
2696,Business,Business Strategy,4.7,
2754,Business,Leadership and Management,4.7,
2765,Business,Marketing,4.7,
2788,Business,Finance,4.7,
2791,Business,Business Strategy,4.7,
2795,Business,Finance,4.7,
2797,Business,Marketing,4.7,
2817,Business,Leadership and Management,4.7,
518,Computer Science,Computer Security and Networks,4.7,
520,Computer Science,Software Development,4.7,
521,Computer Science,Computer Security and Networks,4.7,
539,Computer Science,Design and Product,4.7,
540,Computer Science,Software Development,4.7,
581,Computer Science,Computer Security and Networks,4.7,
603,Computer Science,Software Development,4.7,
609,Computer Science,Design and Product,4.7,
635,Computer Science,Software Development,4.7,
671,Computer Science,Mobile and Web Development,4.7,
694,Computer Science,Software Development,4.7,
763,Computer Science,Software Development,4.7,
785,Computer Science,Algorithms,4.7,
805,Computer Science,Software Development,4.7,
818,Computer Science,Mobile and Web Development,4.7,
862,Computer Science,Mobile and Web Development,4.7,
927,Computer Science,Design and Product,4.7,
929,Computer Science,Computer Security and Networks,4.7,
957,Computer Science,Mobile and Web Development,4.7,
977,Computer Science,Software Development,4.7,
983,Computer Science,Algorithms,4.7,
1009,Computer Science,Software Development,4.7,
1051,Computer Science,Design and Product,4.7,
1110,Computer Science,Software Development,4.7,
1153,Computer Science,Software Development,4.7,
1168,Computer Science,Design and Product,4.7,
1187,Computer Science,Design and Product,4.7,
1225,Computer Science,Mobile and Web Development,4.7,
1227,Computer Science,Software Development,4.7,
1230,Computer Science,Software Development,4.7,
1247,Computer Science,Software Development,4.7,
1274,Computer Science,Design and Product,4.7,
1283,Computer Science,Design and Product,4.7,
1303,Computer Science,Mobile and Web Development,4.7,
1331,Computer Science,Mobile and Web Development,4.7,
1332,Computer Science,Software Development,4.7,
1349,Computer Science,Software Development,4.7,
1360,Computer Science,Design and Product,4.7,
1370,Computer Science,Algorithms,4.7,
1399,Computer Science,Mobile and Web Development,4.7,
1434,Computer Science,Software Development,4.7,
1447,Computer Science,Software Development,4.7,
1459,Computer Science,Algorithms,4.7,
1462,Computer Science,Design and Product,4.7,
1467,Computer Science,Algorithms,4.7,
1538,Computer Science,Mobile and Web Development,4.7,
1539,Computer Science,Software Development,4.7,
1554,Computer Science,Design and Product,4.7,
1560,Computer Science,Software Development,4.7,
1615,Computer Science,Computer Security and Networks,4.7,
1620,Computer Science,Software Development,4.7,
1629,Computer Science,Software Development,4.7,
1631,Computer Science,Design and Product,4.7,
1649,Computer Science,Software Development,4.7,
1663,Computer Science,Software Development,4.7,
1674,Computer Science,Algorithms,4.7,
1681,Computer Science,Software Development,4.7,
1693,Computer Science,Software Development,4.7,
1713,Computer Science,Software Development,4.7,
1729,Computer Science,Software Development,4.7,
1747,Computer Science,Software Development,4.7,
1757,Computer Science,Design and Product,4.7,
1769,Computer Science,Mobile and Web Development,4.7,
1783,Computer Science,Algorithms,4.7,
1806,Computer Science,Software Development,4.7,
1830,Computer Science,Software Development,4.7,
1849,Computer Science,Design and Product,4.7,
1861,Computer Science,Software Development,4.7,
1918,Computer Science,Design and Product,4.7,
1924,Computer Science,Software Development,4.7,
1939,Computer Science,Software Development,4.7,
2006,Computer Science,Design and Product,4.7,
2027,Computer Science,Software Development,4.7,
2059,Computer Science,Software Development,4.7,
2091,Computer Science,Mobile and Web Development,4.7,
2099,Computer Science,Software Development,4.7,
2117,Computer Science,Design and Product,4.7,
2120,Computer Science,Algorithms,4.7,
2165,Computer Science,Algorithms,4.7,
2203,Computer Science,Computer Security and Networks,4.7,
2218,Computer Science,Software Development,4.7,
2222,Computer Science,Mobile and Web Development,4.7,
2229,Computer Science,Design and Product,4.7,
2248,Computer Science,Computer Security and Networks,4.7,
2256,Computer Science,Software Development,4.7,
2273,Computer Science,Design and Product,4.7,
2293,Computer Science,Design and Product,4.7,
2315,Computer Science,Computer Security and Networks,4.7,
2334,Computer Science,Software Development,4.7,
2345,Computer Science,Design and Product,4.7,
2362,Computer Science,Design and Product,4.7,
2396,Computer Science,Computer Security and Networks,4.7,
2419,Computer Science,Design and Product,4.7,
2442,Computer Science,Software Development,4.7,
2471,Computer Science,Design and Product,4.7,
2492,Computer Science,Software Development,4.7,
2533,Computer Science,Software Development,4.7,
2557,Computer Science,Software Development,4.7,
2593,Computer Science,Design and Product,4.7,
2597,Computer Science,Algorithms,4.7,
2610,Computer Science,Software Development,4.7,
2636,Computer Science,Computer Security and Networks,4.7,
2645,Computer Science,Design and Product,4.7,
2694,Computer Science,Software Development,4.7,
2767,Computer Science,Software Development,4.7,
2815,Computer Science,Mobile and Web Development,4.7,
2818,Computer Science,Software Development,4.7,
655,Data Science,Data Analysis,4.7,
667,Data Science,Data Analysis,4.7,
678,Data Science,Data Analysis,4.7,
700,Data Science,Machine Learning,4.7,
722,Data Science,Data Analysis,4.7,
738,Data Science,Machine Learning,4.7,
759,Data Science,Data Analysis,4.7,
780,Data Science,Machine Learning,4.7,
784,Data Science,Machine Learning,4.7,
786,Data Science,Data Analysis,4.7,
791,Data Science,Machine Learning,4.7,
831,Data Science,Machine Learning,4.7,
836,Data Science,Machine Learning,4.7,
868,Data Science,Machine Learning,4.7,
898,Data Science,Machine Learning,4.7,
922,Data Science,Data Analysis,4.7,
972,Data Science,Data Analysis,4.7,
974,Data Science,Data Analysis,4.7,
978,Data Science,Machine Learning,4.7,
1010,Data Science,Data Analysis,4.7,
1016,Data Science,Machine Learning,4.7,
1085,Data Science,Machine Learning,4.7,
1113,Data Science,Data Analysis,4.7,
1137,Data Science,Machine Learning,4.7,
1183,Data Science,Machine Learning,4.7,
1185,Data Science,Machine Learning,4.7,
1322,Data Science,Data Analysis,4.7,
1362,Data Science,Data Analysis,4.7,
1391,Data Science,Data Analysis,4.7,
1393,Data Science,Data Analysis,4.7,
1436,Data Science,Data Analysis,4.7,
1438,Data Science,Data Analysis,4.7,
1469,Data Science,Machine Learning,4.7,
1487,Data Science,Data Analysis,4.7,
1530,Data Science,Machine Learning,4.7,
1542,Data Science,Machine Learning,4.7,
1556,Data Science,Data Analysis,4.7,
1564,Data Science,Data Analysis,4.7,
1593,Data Science,Machine Learning,4.7,
1644,Data Science,Machine Learning,4.7,
1715,Data Science,Data Analysis,4.7,
1756,Data Science,Data Analysis,4.7,
1798,Data Science,Data Analysis,4.7,
1820,Data Science,Machine Learning,4.7,
1869,Data Science,Data Analysis,4.7,
1876,Data Science,Machine Learning,4.7,
1879,Data Science,Machine Learning,4.7,
1942,Data Science,Data Analysis,4.7,
2002,Data Science,Data Analysis,4.7,
2028,Data Science,Machine Learning,4.7,
2037,Data Science,Machine Learning,4.7,
2113,Data Science,Machine Learning,4.7,
2173,Data Science,Data Analysis,4.7,
2192,Data Science,Data Analysis,4.7,
2244,Data Science,Data Analysis,4.7,
2278,Data Science,Data Analysis,4.7,
2310,Data Science,Data Analysis,4.7,
2366,Data Science,Machine Learning,4.7,
2384,Data Science,Data Analysis,4.7,
2392,Data Science,Data Analysis,4.7,
2426,Data Science,Data Analysis,4.7,
2483,Data Science,Machine Learning,4.7,
2487,Data Science,Data Analysis,4.7,
2519,Data Science,Data Analysis,4.7,
2652,Data Science,Machine Learning,4.7,
2707,Data Science,Data Analysis,4.7,
2746,Data Science,Data Analysis,4.7,
2787,Data Science,Machine Learning,4.7,
513,Health,Psychology,4.7,
516,Personal Development,Personal Development,4.7,
536,Physical Science and Engineering,Electrical Engineering,4.7,
545,Information Technology,Security,4.7,
548,Arts and Humanities,Philosophy,4.7,
552,Health,Psychology,4.7,
556,Physical Science and Engineering,Mechanical Engineering,4.7,
561,Health,Basic Science,4.7,
566,Social Sciences,Governance and Society,4.7,
567,Physical Science and Engineering,Chemistry,4.7,
575,Physical Science and Engineering,Electrical Engineering,4.7,
587,Social Sciences,Law,4.7,
599,Arts and Humanities,History,4.7,
608,Social Sciences,Education,4.7,
614,Social Sciences,Economics,4.7,
618,Physical Science and Engineering,Research Methods,4.7,
633,Health,Basic Science,4.7,
637,Personal Development,Personal Development,4.7,
638,Physical Science and Engineering,Chemistry,4.7,
663,Information Technology,Networking,4.7,
686,Information Technology,Support and Operations,4.7,
703,Information Technology,Support and Operations,4.7,
710,Information Technology,Cloud Computing,4.7,
714,Personal Development,Personal Development,4.7,
731,Information Technology,Support and Operations,4.7,
767,Information Technology,Data Management,4.7,
799,Information Technology,Security,4.7,
815,Personal Development,Personal Development,4.7,
844,Social Sciences,Education,4.7,
848,Health,Animal Health,4.7,
852,Language Learning,Learning English,4.7,
856,Arts and Humanities,Music and Art,4.7,
863,Information Technology,Cloud Computing,4.7,
867,Physical Science and Engineering,Mechanical Engineering,4.7,
880,Social Sciences,Education,4.7,
890,Arts and Humanities,Music and Art,4.7,
891,Language Learning,Other Languages,4.7,
895,Physical Science and Engineering,Mechanical Engineering,4.7,
897,Social Sciences,Education,4.7,
899,Information Technology,Security,4.7,
904,Information Technology,Support and Operations,4.7,
932,Personal Development,Personal Development,4.7,
935,Social Sciences,Law,4.7,
940,Health,Psychology,4.7,
941,Information Technology,Security,4.7,
958,Information Technology,Security,4.7,
959,Information Technology,Cloud Computing,4.7,
976,Personal Development,Personal Development,4.7,
981,Social Sciences,Economics,4.7,
986,Information Technology,Cloud Computing,4.7,
991,Information Technology,Cloud Computing,4.7,
1014,Language Learning,Other Languages,4.7,
1025,Physical Science and Engineering,Electrical Engineering,4.7,
1035,Physical Science and Engineering,Mechanical Engineering,4.7,
1065,Language Learning,Learning English,4.7,
1088,Information Technology,Security,4.7,
1090,Health,Health Informatics,4.7,
1097,Information Technology,Cloud Computing,4.7,
1112,Health,Psychology,4.7,
1118,Language Learning,Learning English,4.7,
1123,Language Learning,Learning English,4.7,
1125,Information Technology,Cloud Computing,4.7,
1152,Information Technology,Cloud Computing,4.7,
1155,Arts and Humanities,Music and Art,4.7,
1160,Physical Science and Engineering,Mechanical Engineering,4.7,
1196,Information Technology,Cloud Computing,4.7,
1198,Health,Healthcare Management,4.7,
1251,Physical Science and Engineering,Mechanical Engineering,4.7,
1262,Physical Science and Engineering,Electrical Engineering,4.7,
1276,Personal Development,Personal Development,4.7,
1287,Personal Development,Personal Development,4.7,
1298,Information Technology,Security,4.7,
1299,Health,Patient Care,4.7,
1305,Physical Science and Engineering,Physics and Astronomy,4.7,
1313,Information Technology,Cloud Computing,4.7,
1338,Information Technology,Cloud Computing,4.7,
1352,Language Learning,Learning English,4.7,
1380,Social Sciences,Education,4.7,
1384,Arts and Humanities,Music and Art,4.7,
1385,Health,Health Informatics,4.7,
1443,Social Sciences,Education,4.7,
1464,Personal Development,Personal Development,4.7,
1471,Health,Nutrition,4.7,
1483,Health,Public Health,4.7,
1488,Arts and Humanities,Music and Art,4.7,
1519,Arts and Humanities,Music and Art,4.7,
1558,Arts and Humanities,Music and Art,4.7,
1586,Information Technology,Security,4.7,
1597,Physical Science and Engineering,Electrical Engineering,4.7,
1608,Physical Science and Engineering,Mechanical Engineering,4.7,
1613,Language Learning,Learning English,4.7,
1640,Social Sciences,Governance and Society,4.7,
1641,Arts and Humanities,Music and Art,4.7,
1648,Information Technology,Cloud Computing,4.7,
1659,Physical Science and Engineering,Electrical Engineering,4.7,
1689,Arts and Humanities,Music and Art,4.7,
1714,Information Technology,Cloud Computing,4.7,
1716,Math and Logic,Math and Logic,4.7,
1731,Information Technology,Cloud Computing,4.7,
1771,Arts and Humanities,Music and Art,4.7,
1804,Physical Science and Engineering,Mechanical Engineering,4.7,
1817,Health,Basic Science,4.7,
1821,Physical Science and Engineering,Electrical Engineering,4.7,
1822,Health,Healthcare Management,4.7,
1825,Language Learning,Other Languages,4.7,
1826,Language Learning,Other Languages,4.7,
1831,Physical Science and Engineering,Electrical Engineering,4.7,
1841,Personal Development,Personal Development,4.7,
1866,Information Technology,Security,4.7,
1878,Health,Health Informatics,4.7,
1883,Personal Development,Personal Development,4.7,
1892,Language Learning,Learning English,4.7,
1896,Health,Healthcare Management,4.7,
1913,Information Technology,Cloud Computing,4.7,
1927,Physical Science and Engineering,Electrical Engineering,4.7,
1929,Arts and Humanities,Music and Art,4.7,
1931,Information Technology,Security,4.7,
1932,Information Technology,Cloud Computing,4.7,
1933,Physical Science and Engineering,Electrical Engineering,4.7,
1934,Social Sciences,Law,4.7,
1935,Physical Science and Engineering,Electrical Engineering,4.7,
1965,Arts and Humanities,Music and Art,4.7,
1967,Physical Science and Engineering,Electrical Engineering,4.7,
1991,Arts and Humanities,Philosophy,4.7,
1993,Personal Development,Personal Development,4.7,
1994,Health,Patient Care,4.7,
1999,Language Learning,Learning English,4.7,
2009,Information Technology,Security,4.7,
2014,Arts and Humanities,Music and Art,4.7,
2045,Arts and Humanities,Music and Art,4.7,
2050,Language Learning,Learning English,4.7,
2056,Arts and Humanities,Music and Art,4.7,
2069,Arts and Humanities,Music and Art,4.7,
2074,Physical Science and Engineering,Electrical Engineering,4.7,
2095,Information Technology,Data Management,4.7,
2107,Information Technology,Cloud Computing,4.7,
2108,Physical Science and Engineering,Electrical Engineering,4.7,
2112,Language Learning,Learning English,4.7,
2116,Information Technology,Cloud Computing,4.7,
2122,Social Sciences,Education,4.7,
2126,Health,Public Health,4.7,
2139,Health,Public Health,4.7,
2143,Information Technology,Cloud Computing,4.7,
2144,Arts and Humanities,Music and Art,4.7,
2166,Health,Health Informatics,4.7,
2195,Physical Science and Engineering,Electrical Engineering,4.7,
2213,Information Technology,Cloud Computing,4.7,
2220,Information Technology,Cloud Computing,4.7,
2228,Information Technology,Cloud Computing,4.7,
2241,Physical Science and Engineering,Electrical Engineering,4.7,
2245,Physical Science and Engineering,Research Methods,4.7,
2257,Information Technology,Cloud Computing,4.7,
2263,Physical Science and Engineering,Mechanical Engineering,4.7,
2297,Physical Science and Engineering,Electrical Engineering,4.7,
2298,Arts and Humanities,Music and Art,4.7,
2307,Information Technology,Cloud Computing,4.7,
2332,Information Technology,Security,4.7,
2340,Health,Health Informatics,4.7,
2372,Information Technology,Networking,4.7,
2385,Language Learning,Learning English,4.7,
2395,Physical Science and Engineering,Mechanical Engineering,4.7,
2397,Arts and Humanities,Music and Art,4.7,
2404,Arts and Humanities,Music and Art,4.7,
2418,Information Technology,Security,4.7,
2430,Language Learning,Learning English,4.7,
2453,Information Technology,Support and Operations,4.7,
2457,Information Technology,Cloud Computing,4.7,
2460,Physical Science and Engineering,Mechanical Engineering,4.7,
2466,Personal Development,Personal Development,4.7,
2480,Physical Science and Engineering,Mechanical Engineering,4.7,
2485,Physical Science and Engineering,Electrical Engineering,4.7,
2488,Arts and Humanities,Music and Art,4.7,
2512,Physical Science and Engineering,Electrical Engineering,4.7,
2513,Arts and Humanities,Music and Art,4.7,
2520,Information Technology,Data Management,4.7,
2531,Social Sciences,Education,4.7,
2537,Information Technology,Cloud Computing,4.7,
2546,Information Technology,Cloud Computing,4.7,
2550,Social Sciences,Education,4.7,
2554,Information Technology,Data Management,4.7,
2559,Information Technology,Cloud Computing,4.7,
2564,Physical Science and Engineering,Mechanical Engineering,4.7,
2571,Information Technology,Cloud Computing,4.7,
2594,Information Technology,Security,4.7,
2601,Personal Development,Personal Development,4.7,
2651,Information Technology,Cloud Computing,4.7,
2654,Arts and Humanities,Music and Art,4.7,
2657,Arts and Humanities,Music and Art,4.7,
2668,Information Technology,Cloud Computing,4.7,
2674,Arts and Humanities,Music and Art,4.7,
2697,Physical Science and Engineering,Mechanical Engineering,4.7,
2719,Health,Healthcare Management,4.7,
2728,Language Learning,Learning English,4.7,
2735,Arts and Humanities,History,4.7,
2742,Information Technology,Cloud Computing,4.7,
2750,Arts and Humanities,Music and Art,4.7,
2764,Social Sciences,Education,4.7,
2768,Physical Science and Engineering,Environmental Science and Sustainability,4.7,
2771,Information Technology,Cloud Computing,4.7,
2784,Language Learning,Learning English,4.7,
2810,Information Technology,Security,4.7,
510,Health,Health Informatics,4.8,
514,Health,Psychology,4.8,
519,Social Sciences,Education,4.8,
523,Social Sciences,Law,4.8,
530,Health,Basic Science,4.8,
532,Health,Basic Science,4.8,
534,Language Learning,Other Languages,4.8,
542,Physical Science and Engineering,Environmental Science and Sustainability,4.8,
546,Health,Patient Care,4.8,
550,Social Sciences,Governance and Society,4.8,
565,Physical Science and Engineering,Environmental Science and Sustainability,4.8,
580,Social Sciences,Law,4.8,
585,Data Science,Machine Learning,4.8,
586,Social Sciences,Law,4.8,
588,Health,Public Health,4.8,
594,Physical Science and Engineering,Environmental Science and Sustainability,4.8,
596,Arts and Humanities,History,4.8,
601,Arts and Humanities,Music and Art,4.8,
605,Health,Patient Care,4.8,
606,Health,Basic Science,4.8,
607,Social Sciences,Education,4.8,
615,Personal Development,Personal Development,4.8,
617,Health,Healthcare Management,4.8,
620,Arts and Humanities,History,4.8,
625,Arts and Humanities,History,4.8,
631,Social Sciences,Governance and Society,4.8,
634,Health,Nutrition,4.8,
642,Social Sciences,Education,4.8,
650,Data Science,Data Analysis,4.8,
653,Information Technology,Support and Operations,4.8,
656,Arts and Humanities,History,4.8,
664,Data Science,Data Analysis,4.8,
672,Data Science,Data Analysis,4.8,
675,Data Science,Data Analysis,4.8,
684,Data Science,Data Analysis,4.8,
695,Information Technology,Support and Operations,4.8,
701,Data Science,Data Analysis,4.8,
706,Data Science,Data Analysis,4.8,
707,Information Technology,Cloud Computing,4.8,
711,Data Science,Machine Learning,4.8,
717,Data Science,Data Analysis,4.8,
718,Personal Development,Personal Development,4.8,
719,Health,Research,4.8,
724,Data Science,Data Analysis,4.8,
725,Information Technology,Security,4.8,
739,Data Science,Machine Learning,4.8,
745,Data Science,Data Analysis,4.8,
749,Social Sciences,Law,4.8,
751,Health,Basic Science,4.8,
756,Language Learning,Learning English,4.8,
758,Social Sciences,Economics,4.8,
762,Data Science,Data Analysis,4.8,
769,Health,Healthcare Management,4.8,
770,Social Sciences,Economics,4.8,
775,Information Technology,Cloud Computing,4.8,
777,Information Technology,Support and Operations,4.8,
779,Arts and Humanities,Music and Art,4.8,
781,Language Learning,Learning English,4.8,
783,Math and Logic,Math and Logic,4.8,
792,Data Science,Data Analysis,4.8,
793,Health,Animal Health,4.8,
794,Health,Research,4.8,
795,Math and Logic,Math and Logic,4.8,
796,Physical Science and Engineering,Environmental Science and Sustainability,4.8,
797,Health,Patient Care,4.8,
803,Social Sciences,Law,4.8,
809,Information Technology,Support and Operations,4.8,
817,Health,Public Health,4.8,
822,Data Science,Data Analysis,4.8,
823,Data Science,Machine Learning,4.8,
828,Physical Science and Engineering,Environmental Science and Sustainability,4.8,
839,Health,Patient Care,4.8,
851,Social Sciences,Governance and Society,4.8,
854,Language Learning,Learning English,4.8,
872,Data Science,Data Analysis,4.8,
875,Information Technology,Support and Operations,4.8,
878,Language Learning,Learning English,4.8,
888,Arts and Humanities,Music and Art,4.8,
896,Physical Science and Engineering,Environmental Science and Sustainability,4.8,
909,Health,Psychology,4.8,
914,Health,Basic Science,4.8,
921,Health,Research,4.8,
925,Arts and Humanities,Philosophy,4.8,
939,Health,Nutrition,4.8,
947,Arts and Humanities,Music and Art,4.8,
955,Health,Basic Science,4.8,
961,Physical Science and Engineering,Environmental Science and Sustainability,4.8,
970,Physical Science and Engineering,Physics and Astronomy,4.8,
975,Social Sciences,Law,4.8,
979,Arts and Humanities,Music and Art,4.8,
980,Data Science,Data Analysis,4.8,
1013,Language Learning,Learning English,4.8,
1015,Physical Science and Engineering,Mechanical Engineering,4.8,
1019,Data Science,Machine Learning,4.8,
1031,Arts and Humanities,Music and Art,4.8,
1037,Health,Basic Science,4.8,
1048,Health,Patient Care,4.8,
1055,Information Technology,Cloud Computing,4.8,
1061,Information Technology,Cloud Computing,4.8,
1077,Health,Patient Care,4.8,
1078,Social Sciences,Law,4.8,
1102,Information Technology,Data Management,4.8,
1109,Data Science,Data Analysis,4.8,
1121,Physical Science and Engineering,Electrical Engineering,4.8,
1124,Physical Science and Engineering,Electrical Engineering,4.8,
1129,Personal Development,Personal Development,4.8,
1132,Language Learning,Learning English,4.8,
1142,Information Technology,Cloud Computing,4.8,
1146,Social Sciences,Governance and Society,4.8,
1158,Data Science,Machine Learning,4.8,
1177,Data Science,Probability and Statistics,4.8,
1184,Language Learning,Learning English,4.8,
1204,Data Science,Machine Learning,4.8,
1221,Physical Science and Engineering,Environmental Science and Sustainability,4.8,
1236,Personal Development,Personal Development,4.8,
1252,Arts and Humanities,Music and Art,4.8,
1260,Language Learning,Learning English,4.8,
1264,Language Learning,Other Languages,4.8,
1272,Language Learning,Learning English,4.8,
1273,Social Sciences,Education,4.8,
1281,Language Learning,Learning English,4.8,
1290,Health,Basic Science,4.8,
1311,Arts and Humanities,Music and Art,4.8,
1318,Arts and Humanities,Music and Art,4.8,
1324,Physical Science and Engineering,Mechanical Engineering,4.8,
1326,Health,Public Health,4.8,
1328,Physical Science and Engineering,Environmental Science and Sustainability,4.8,
1329,Arts and Humanities,Music and Art,4.8,
1333,Arts and Humanities,Music and Art,4.8,
1368,Information Technology,Networking,4.8,
1375,Data Science,Machine Learning,4.8,
1388,Information Technology,Support and Operations,4.8,
1397,Health,Patient Care,4.8,
1412,Physical Science and Engineering,Mechanical Engineering,4.8,
1420,Social Sciences,Education,4.8,
1425,Data Science,Probability and Statistics,4.8,
1432,Language Learning,Learning English,4.8,
1460,Health,Psychology,4.8,
1482,Data Science,Machine Learning,4.8,
1491,Data Science,Data Analysis,4.8,
1503,Information Technology,Support and Operations,4.8,
1504,Personal Development,Personal Development,4.8,
1506,Information Technology,Security,4.8,
1518,Information Technology,Cloud Computing,4.8,
1532,Data Science,Data Analysis,4.8,
1536,Physical Science and Engineering,Electrical Engineering,4.8,
1537,Social Sciences,Law,4.8,
1547,Health,Research,4.8,
1569,Data Science,Machine Learning,4.8,
1578,Arts and Humanities,Philosophy,4.8,
1584,Physical Science and Engineering,Research Methods,4.8,
1600,Arts and Humanities,Music and Art,4.8,
1601,Health,Public Health,4.8,
